,,,,Term-VI Time Table (PGP 2024-26 batch) for AY 2025-26,,,,,,,,,,Single Section
,,,Slot 1,Slot 2,Slot3,Break,Slot4,Slot 5,Slot 6,Slot7,Slot 8,Slot 9,,Last Session
"Day, Date",Classroom No.,,9:00 am - 10:15 am,10:30 am - 11:45 am,12 noon - 1:15 pm,Lunch,2:30 pm - 3:45 pm,4:00 pm - 5:15 pm,5:30 pm - 6:45 pm,7:00 pm - 8:15 pm,8:45 pm - 10:00 pm,10:15 pm - 11:30 pm,,Sister section attd. Allowed
01/17/2026,F-201,,EcoP 9,LabE 3,Genplay 3,,ETC 10,EMBI A 2,EMBI B 2,ConD 6,,,,
01/17/2026,F-203,,,EBS A 3,EBS B 3,,MIT A 2,MIT B 2,,,,,,
01/17/2026,F-103,,,,,,,,,,,,,
01/17/2026,SRC-201,,,,,,,,,,,,,
01/17/2026,G103,,,,,,,,,,,,,
01/18/2026,F-201,,,,,,EMBI A 3,EMBI B 3,,,,,,
01/18/2026,F-203,,,,,,,,,,,,,
01/18/2026,F-103,,Facility office activity,,,,Facility office activity,,,,,,,
01/18/2026,SRC-201,,,,,,,,,,,,,
01/18/2026,G103,,,,,,,,,,,,,
01/19/2026,F-201,,IBSCG A 6,IBSCG B 6,,,MSM 12,HBAFL 5,IBS A 9,IBS B 9,,,,
01/19/2026,F-203,,CLTC 5,BF A 7,BF B 7,,,BDG 9,CNN 9,CNN 10,ET-BFSI,,,
01/19/2026,F-103,,MarkA 6,EIM A 10,EIM B 10,,,,,BV 6,,,,
01/19/2026,SRC-201,,,,,,,,,,,,,
01/19/2026,G103,,,,,,,,,,,,,
01/20/2026,F-201,,CNN 11,,,,,,,,Digital A 6,Digital B 6,,
01/20/2026,F-203,,ELDM A 8,ELDM A 9,ELDM A 10,Quiz-PBM,ELDM A 11,,,,,,,
01/20/2026,F-103,,,,,,,,,,,,,
01/20/2026,SRC-201,,,,,,,,,,,,,
01/20/2026,G103,,,,,,,,,,,,,
01/21/2026,F-201,,,Digital A 7,Digital A 8,Quiz-AAHR,,,IBS A 10,IBS B 10,Digital B 7,Digital B 8,,
01/21/2026,F-203,,ELDM B 8,ELDM B 9,ELDM B 10,,ELDM B 11,IBSCG A 7,IBSCG B 7,PPG 1,,,,
01/21/2026,F-103,,,,,,,,,,,,,
01/21/2026,SRC-201,,,,,,,,,,,,,
01/21/2026,G103,,,,,,,,,,,,,
